name,cat,muscle,presc,unit,log_type,status,image_url,video_url,difficulty,secondary_muscles,movement_pattern,instructions,common_mistakes,alternatives
Frog Stand Hold,Bodyweight,Shoulders,3x20s,time,hold,new,,,,,,,,
Elbow Lever Hold,Bodyweight,Abdominals,3x15s,time,hold,new,,,,,,,,
Back Bridge Hold,Bodyweight,Lower Back,3x30s,time,hold,new,,,,,,,,
Wall Walk,Bodyweight,Shoulders,4x5,reps,cardio,new,,,,,,,,
Iron Cross Hold,Bodyweight,Chest,4x8s,time,hold,new,,,,,,,,
Victorian Cross Hold,Bodyweight,Chest,4x5s,time,hold,new,,,,,,,,
Maltese Hold,Bodyweight,Chest,4x5s,time,hold,new,,,,,,,,
One Arm Push Up Negative,Bodyweight,Chest,3x5,reps,strength,new,,,,,,,,
90 Degree Push Up,Bodyweight,Chest,3x5,reps,strength,new,,,,,,,,
Superman Push Up,Bodyweight,Chest,3x6,reps,strength,new,,,,,,,,
Aztec Push Up,Bodyweight,Chest,3x5,reps,strength,new,,,,,,,,
Russian Dip,Bodyweight,Triceps,3x8,reps,strength,new,,,,,,,,
Korean Dip,Bodyweight,Triceps,3x8,reps,strength,new,,,,,,,,
Straight Bar Dip,Bodyweight,Chest,3x10,reps,strength,new,,,,,,,,
Bulgarian Dip,Bodyweight,Chest,3x8,reps,strength,new,,,,,,,,
Impossible Dip,Bodyweight,Chest,3x5,reps,strength,new,,,,,,,,
Box Drop,Bodyweight,Quadriceps,4x5,reps,strength,new,,,,,,,,
Lateral Bound,Bodyweight,Glutes,4x8,reps,strength,new,,,,,,,,
Single Leg Bound,Bodyweight,Glutes,4x6,reps,strength,new,,,,,,,,
Lateral Skater Bound,Bodyweight,Glutes,4x10,reps,strength,new,,,,,,,,
Split Jump,Bodyweight,Quadriceps,4x10,reps,strength,new,,,,,,,,
Scissor Jump,Bodyweight,Quadriceps,4x12,reps,strength,new,,,,,,,,
Squat Jump to Box,Bodyweight,Quadriceps,4x6,reps,strength,new,,,,,,,,
Continuous Box Jump,Bodyweight,Quadriceps,4x8,reps,strength,new,,,,,,,,
Seated Box Jump,Bodyweight,Quadriceps,4x5,reps,strength,new,,,,,,,,
Reactive Hurdle Jump,Bodyweight,Calves,4x8,reps,strength,new,,,,,,,,
Triple Jump,Bodyweight,Glutes,4x4,reps,strength,new,,,,,,,,
Ankle Hop,Bodyweight,Calves,3x20,reps,strength,new,,,,,,,,
Power Skip,Bodyweight,Glutes,4x20m,distance,cardio,new,,,,,,,,
Depth Drop to Broad Jump,Bodyweight,Glutes,4x5,reps,strength,new,,,,,,,,
Plyo Push Up,Bodyweight,Chest,4x6,reps,strength,new,,,,,,,,
Drop Push Up,Bodyweight,Chest,4x6,reps,strength,new,,,,,,,,
Clap Push Up to Box,Bodyweight,Chest,4x6,reps,strength,new,,,,,,,,
Med Ball Scoop Toss,Conditioning,Full Body,4x8,reps,strength,new,,,,,,,,
Med Ball Side Toss,Conditioning,Abdominals,4x8,reps,strength,new,,,,,,,,
Med Ball Overhead Slam,Conditioning,Full Body,4x10,reps,strength,new,,,,,,,,
Kneeling Med Ball Throw,Conditioning,Chest,4x8,reps,strength,new,,,,,,,,
Vertical Jump Test,Bodyweight,Quadriceps,3x3,reps,strength,new,,,,,,,,
Standing Long Jump Test,Bodyweight,Glutes,3x3,reps,strength,new,,,,,,,,
Jefferson Deadlift,Barbell,Glutes,4x6,reps,strength,new,,,,,,,,
Snatch Grip Deadlift,Barbell,Upper Back,4x5,reps,strength,new,,,,,,,,
Suitcase Deadlift,Dumbbell,Abdominals,3x10,reps,strength,new,,,,,,,,
Behind the Neck Press,Barbell,Shoulders,4x8,reps,strength,new,,,,,,,,
Bradford Press,Barbell,Shoulders,3x10,reps,strength,new,,,,,,,,
Half Kneeling Press,Dumbbell,Shoulders,3x10,reps,strength,new,,,,,,,,
Landmine Lateral Raise,Barbell,Shoulders,3x12,reps,strength,new,,,,,,,,
Landmine Anti Rotation,Barbell,Abdominals,3x12,reps,strength,new,,,,,,,,
Meadows Row,Barbell,Upper Back,4x10,reps,strength,new,,,,,,,,
Kroc Row,Dumbbell,Upper Back,3x15,reps,strength,new,,,,,,,,
Inverted Row Feet Elevated,Bodyweight,Upper Back,3x12,reps,strength,new,,,,,,,,
Cable Pullover,Machine,Lats,3x12,reps,strength,new,,,,,,,,
Tate Press,Dumbbell,Triceps,3x12,reps,strength,new,,,,,,,,
Tricep Kickback,Dumbbell,Triceps,3x15,reps,strength,new,,,,,,,,
Cuban Rotation,Dumbbell,Shoulders,3x12,reps,strength,new,,,,,,,,
Scapular Push Up,Bodyweight,Upper Back,3x15,reps,strength,new,,,,,,,,
Serratus Punch,Dumbbell,Chest,3x15,reps,strength,new,,,,,,,,
Copenhagen Adduction,Bodyweight,Adductors,3x10,reps,strength,new,,,,,,,,
45 Degree Hyper,Machine,Lower Back,3x15,reps,strength,new,,,,,,,,
Standing Ab Wheel,Bodyweight,Abdominals,3x6,reps,strength,new,,,,,,,,
Jefferson Curl (Dumbbell),Dumbbell,Lower Back,3x8,reps,strength,new,,,,,,,,
Jefferson Curl Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Shoulder Dislocate Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Scapular Wall Slide Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Prone Press Up Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Frog Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Lizard Pose Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Half Kneeling Hip Flexor Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Standing Side Bend Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Neck Rotation Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Chin Tuck Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Wrist Circles Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Shoulder Circles Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Hip Circles Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Leg Swings Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Arm Circles Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Torso Twist Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Knee Hug Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Ankle Dorsiflexion Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Calf Wall Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Sciatic Nerve Glide Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Median Nerve Glide Stretch,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Thread the Needle Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Happy Baby Pose,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Supine Twist Pose,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Sphinx Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Bow Pose,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Camel Pose,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Bridge Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Warrior I Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Warrior II Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Triangle Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Tree Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Chair Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Eagle Pose,Bodyweight,Mobility,2x30s,time,hold,new,,,,,,,,
Cow Face Pose,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Reclined Pigeon Pose,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Standing Forward Fold Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Wide Legged Forward Fold Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Low Lunge Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Foam Rolling Hamstrings,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Foam Rolling Adductors,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Foam Rolling Pecs,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Foam Rolling Tibialis,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Lacrosse Ball Glute Release Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Lacrosse Ball Foot Release Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Banded Hip Distraction Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Banded Shoulder Distraction Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
Banded Ankle Distraction Stretch,Bodyweight,Mobility,2x60s,time,hold,new,,,,,,,,
External Rotation (Cable),Machine,Shoulders,3x15,reps,strength,new,,,,,,,,
Internal Rotation (Cable),Machine,Shoulders,3x15,reps,strength,new,,,,,,,,
Prone External Rotation,Dumbbell,Shoulders,3x15,reps,strength,new,,,,,,,,
Side Lying External Rotation,Dumbbell,Shoulders,3x15,reps,strength,new,,,,,,,,
Full Can Raise,Dumbbell,Shoulders,3x15,reps,strength,new,,,,,,,,
Empty Can Raise,Dumbbell,Shoulders,3x12,reps,strength,new,,,,,,,,
Scaption Raise,Dumbbell,Shoulders,3x15,reps,strength,new,,,,,,,,
Sleeper Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Wall Angel,Bodyweight,Upper Back,3x15,reps,strength,new,,,,,,,,
Band Pull Apart Overhead,Bodyweight,Shoulders,3x15,reps,strength,new,,,,,,,,
Blackburn Exercise,Bodyweight,Upper Back,3x12,reps,strength,new,,,,,,,,
Bottoms Up Carry,Kettlebell,Shoulders,3x30m,distance,carry,new,,,,,,,,
Neck Curl,Bodyweight,Neck,3x15,reps,strength,new,,,,,,,,
Neck Lateral Flexion,Bodyweight,Neck,3x15,reps,strength,new,,,,,,,,
Neck Harness Extension,Machine,Neck,3x15,reps,strength,new,,,,,,,,
Plate Pinch Hold,Bodyweight,Forearms,3x30s,time,hold,new,,,,,,,,
Fat Grip Hold,Barbell,Forearms,3x30s,time,hold,new,,,,,,,,
Farmer Hold,Dumbbell,Forearms,3x45s,time,hold,new,,,,,,,,
Captains of Crush Grip,Bodyweight,Forearms,3x10,reps,strength,new,,,,,,,,
Towel Pull Up Hold,Bodyweight,Forearms,3x20s,time,hold,new,,,,,,,,
Bar Hang Hold,Bodyweight,Forearms,3x45s,time,hold,new,,,,,,,,
Two Finger Hang Hold,Bodyweight,Forearms,3x15s,time,hold,new,,,,,,,,
Hub Lift,Bodyweight,Forearms,3x8,reps,strength,new,,,,,,,,
Smith Machine Calf Raise,Machine,Calves,4x15,reps,strength,new,,,,,,,,
Leg Press Calf Raise,Machine,Calves,4x15,reps,strength,new,,,,,,,,
Standing Leg Curl,Machine,Hamstrings,3x12,reps,strength,new,,,,,,,,
Reverse Pec Deck,Machine,Upper Back,3x15,reps,strength,new,,,,,,,,
Assisted Pull Up Machine,Machine,Lats,3x10,reps,strength,new,,,,,,,,
Nautilus Pullover,Machine,Lats,3x12,reps,strength,new,,,,,,,,
Cable Crossover High,Machine,Chest,3x15,reps,strength,new,,,,,,,,
Cable Crossover Low,Machine,Chest,3x15,reps,strength,new,,,,,,,,
Kneeling Cable Crunch,Machine,Abdominals,3x15,reps,strength,new,,,,,,,,
Bayesian Curl,Machine,Biceps,3x12,reps,strength,new,,,,,,,,
Cable Rope Hammer Curl,Machine,Biceps,3x15,reps,strength,new,,,,,,,,
Single Arm Cable Kickback,Machine,Triceps,3x15,reps,strength,new,,,,,,,,
Bench Dip Weighted,Bodyweight,Triceps,3x12,reps,strength,new,,,,,,,,
Leaning Cable Lateral Raise,Machine,Shoulders,3x15,reps,strength,new,,,,,,,,
Cable Rear Delt Row,Machine,Upper Back,3x15,reps,strength,new,,,,,,,,
Face Pull Rope,Machine,Upper Back,3x15,reps,strength,new,,,,,,,,
Boxing Heavy Bag,Conditioning,Cardio,3x3min,time,cardio,new,,,,,,,,
Speed Bag Boxing,Conditioning,Shoulders,3x2min,time,cardio,new,,,,,,,,
Jump Rope Crossover,Conditioning,Cardio,3x60s,time,cardio,new,,,,,,,,
Sprint Start,Cardio Outdoor,Cardio,6x20m,distance,cardio,new,,,,,,,,
Agility Ladder,Conditioning,Cardio,4x30s,time,cardio,new,,,,,,,,
Cone Drill,Conditioning,Cardio,4x30s,time,cardio,new,,,,,,,,
T Drill,Conditioning,Cardio,4x1,reps,cardio,new,,,,,,,,
Pro Agility Shuttle,Cardio Outdoor,Cardio,6x20m,distance,cardio,new,,,,,,,,
Sledge Tire Strike,Conditioning,Full Body,4x20,reps,strength,new,,,,,,,,
Climbing Hangboard Hold,Bodyweight,Forearms,5x10s,time,hold,new,,,,,,,,
Campus Board,Bodyweight,Lats,4x6,reps,strength,new,,,,,,,,
Rowing Erg Sprint,Cardio Machine,Cardio,6x250m,distance,cardio,new,,,,,,,,
Swim Freestyle,Cardio Outdoor,Cardio,4x100m,distance,cardio,new,,,,,,,,
Swim Breaststroke,Cardio Outdoor,Cardio,4x100m,distance,cardio,new,,,,,,,,
Swim Butterfly,Cardio Outdoor,Cardio,4x50m,distance,cardio,new,,,,,,,,
Pilates Hundred,Bodyweight,Abdominals,3x100,reps,strength,new,,,,,,,,
Pilates Roll Up,Bodyweight,Abdominals,3x10,reps,strength,new,,,,,,,,
Pilates Teaser,Bodyweight,Abdominals,3x8,reps,strength,new,,,,,,,,
Pilates Swan,Bodyweight,Lower Back,3x10,reps,strength,new,,,,,,,,
Pilates Side Kick,Bodyweight,Glutes,3x15,reps,strength,new,,,,,,,,
Beast Crawl,Bodyweight,Full Body,3x20,reps,strength,new,,,,,,,,
Crab Reach,Bodyweight,Shoulders,3x10,reps,strength,new,,,,,,,,
Ape Reach,Bodyweight,Adductors,3x10,reps,strength,new,,,,,,,,
Scorpion Reach,Bodyweight,Lower Back,3x10,reps,strength,new,,,,,,,,
Loaded Beast Hold,Bodyweight,Shoulders,3x30s,time,hold,new,,,,,,,,
Bear Complex,Barbell,Full Body,5x7,reps,strength,new,,,,,,,,
A Skip,Cardio Outdoor,Cardio,4x20m,distance,cardio,new,,,,,,,,
B Skip,Cardio Outdoor,Cardio,4x20m,distance,cardio,new,,,,,,,,
High Knee Run,Cardio Outdoor,Cardio,4x20m,distance,cardio,new,,,,,,,,
Butt Kick Run,Cardio Outdoor,Cardio,4x20m,distance,cardio,new,,,,,,,,
Wall Drill,Conditioning,Quadriceps,4x20s,time,cardio,new,,,,,,,,
Falling Start Sprint,Cardio Outdoor,Cardio,6x15m,distance,cardio,new,,,,,,,,
Flying Sprint,Cardio Outdoor,Cardio,5x30m,distance,cardio,new,,,,,,,,
Tempo Run,Cardio Outdoor,Cardio,3x1000m,distance,cardio,new,,,,,,,,
Fartlek Run,Cardio Outdoor,Cardio,1x5000m,distance,cardio,new,,,,,,,,
Hill Sprint,Cardio Outdoor,Cardio,8x40m,distance,cardio,new,,,,,,,,
Stride Out Run,Cardio Outdoor,Cardio,6x100m,distance,cardio,new,,,,,,,,
Box Step Over,Conditioning,Quadriceps,4x10,reps,strength,new,,,,,,,,
Burpee Box Jump Over,Conditioning,Full Body,4x10,reps,strength,new,,,,,,,,
Burpee Deadlift,Barbell,Full Body,4x8,reps,strength,new,,,,,,,,
Burpee Tuck Jump,Bodyweight,Full Body,4x10,reps,strength,new,,,,,,,,
Broad Jump Burpee,Bodyweight,Full Body,4x8,reps,strength,new,,,,,,,,
Sprawl,Bodyweight,Full Body,4x15,reps,strength,new,,,,,,,,
Dumbbell Snatch Alternating,Dumbbell,Shoulders,4x10,reps,strength,new,,,,,,,,
Dumbbell Thruster,Dumbbell,Shoulders,4x10,reps,strength,new,,,,,,,,
Kettlebell Swing American,Kettlebell,Glutes,4x15,reps,strength,new,,,,,,,,
Chest to Bar Pull Up,Bodyweight,Lats,4x8,reps,strength,new,,,,,,,,
Handstand Push Up Kipping,Bodyweight,Shoulders,4x8,reps,strength,new,,,,,,,,
Jump Rope Double Under,Conditioning,Cardio,4x40,reps,cardio,new,,,,,,,,
Jump Rope Single Under,Conditioning,Cardio,4x80,reps,cardio,new,,,,,,,,
Sandbag Squat,Conditioning,Quadriceps,4x12,reps,strength,new,,,,,,,,
Slam Ball Squat,Conditioning,Quadriceps,4x12,reps,strength,new,,,,,,,,
Med Ball Clean,Conditioning,Full Body,4x10,reps,strength,new,,,,,,,,
Wall Ball Over Shoulder,Conditioning,Full Body,4x10,reps,strength,new,,,,,,,,
Plank to Push Up,Bodyweight,Chest,3x12,reps,hold,new,,,,,,,,
Lunge to Press,Dumbbell,Full Body,4x10,reps,strength,new,,,,,,,,
Clean to Overhead,Barbell,Full Body,4x6,reps,strength,new,,,,,,,,
Cross Body Mountain Climber,Bodyweight,Abdominals,3x30,reps,strength,new,,,,,,,,
Speed Skater,Bodyweight,Quadriceps,3x20,reps,strength,new,,,,,,,,
Squat Pulse,Bodyweight,Quadriceps,3x20,reps,strength,new,,,,,,,,
Glute Bridge Pulse,Bodyweight,Glutes,3x25,reps,strength,new,,,,,,,,
Lateral Shuffle Drill,Conditioning,Cardio,4x20m,distance,cardio,new,,,,,,,,
Carioca Drill,Conditioning,Cardio,4x20m,distance,cardio,new,,,,,,,,
Suicide Run,Cardio Outdoor,Cardio,4x1,reps,cardio,new,,,,,,,,
Incline Treadmill Walk,Cardio Machine,Cardio,1x20min,time,cardio,new,,,,,,,,
Weighted Vest Walk,Cardio Outdoor,Cardio,1x30min,time,cardio,new,,,,,,,,
Ruck Walk,Cardio Outdoor,Cardio,1x5000m,distance,cardio,new,,,,,,,,
Straight Leg Raise,Bodyweight,Quadriceps,3x15,reps,strength,new,,,,,,,,
Short Arc Quad,Bodyweight,Quadriceps,3x15,reps,strength,new,,,,,,,,
Quad Set Hold,Bodyweight,Quadriceps,3x10s,time,hold,new,,,,,,,,
Heel Slide,Bodyweight,Quadriceps,3x15,reps,strength,new,,,,,,,,
Wall Sit Isometric,Bodyweight,Quadriceps,3x45s,time,hold,new,,,,,,,,
Step Down Eccentric,Bodyweight,Quadriceps,3x10,reps,strength,new,,,,,,,,
Spanish Squat Isometric,Bodyweight,Quadriceps,3x30s,time,hold,new,,,,,,,,
Single Leg Balance Hold,Bodyweight,Quadriceps,3x30s,time,hold,new,,,,,,,,
Terminal Knee Extension Band,Bodyweight,Quadriceps,3x15,reps,strength,new,,,,,,,,
Patellar Tendon Isometric,Bodyweight,Quadriceps,3x45s,time,hold,new,,,,,,,,
VMO Squeeze,Bodyweight,Quadriceps,3x15,reps,strength,new,,,,,,,,
Pendulum Swing,Bodyweight,Shoulders,3x20,reps,strength,new,,,,,,,,
Codman Circle,Bodyweight,Shoulders,3x20,reps,strength,new,,,,,,,,
Passive Shoulder Flexion,Bodyweight,Shoulders,3x12,reps,strength,new,,,,,,,,
Table Slide,Bodyweight,Shoulders,3x12,reps,strength,new,,,,,,,,
Towel Stretch Shoulder,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Isometric Shoulder Abduction,Bodyweight,Shoulders,3x20s,time,hold,new,,,,,,,,
Isometric Shoulder External Rotation,Bodyweight,Shoulders,3x20s,time,hold,new,,,,,,,,
Scapular Retraction,Bodyweight,Upper Back,3x15,reps,strength,new,,,,,,,,
Scapular Depression,Bodyweight,Upper Back,3x15,reps,strength,new,,,,,,,,
Serratus Wall Slide,Bodyweight,Chest,3x12,reps,strength,new,,,,,,,,
Prone Horizontal Abduction,Bodyweight,Upper Back,3x15,reps,strength,new,,,,,,,,
Pelvic Tilt,Bodyweight,Lower Back,3x15,reps,strength,new,,,,,,,,
Glute Bridge March Rehab,Bodyweight,Glutes,3x12,reps,strength,new,,,,,,,,
Cat Camel,Bodyweight,Mobility,3x12,reps,strength,new,,,,,,,,
Prone Extension,Bodyweight,Lower Back,3x12,reps,strength,new,,,,,,,,
Curl Up McGill,Bodyweight,Abdominals,3x10,reps,strength,new,,,,,,,,
Side Bridge McGill Hold,Bodyweight,Abdominals,3x30s,time,hold,new,,,,,,,,
Bird Dog Rehab,Bodyweight,Lower Back,3x12,reps,hold,new,,,,,,,,
Nerve Flossing Sciatic,Bodyweight,Hamstrings,3x12,reps,strength,new,,,,,,,,
Lumbar Rotation Stretch,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Standing Extension,Bodyweight,Lower Back,3x12,reps,strength,new,,,,,,,,
Ankle Alphabet,Bodyweight,Calves,3x2,reps,strength,new,,,,,,,,
Calf Raise Eccentric,Bodyweight,Calves,3x15,reps,strength,new,,,,,,,,
Heel Walk,Bodyweight,Calves,3x20m,distance,cardio,new,,,,,,,,
Toe Walk,Bodyweight,Calves,3x20m,distance,cardio,new,,,,,,,,
Ankle Inversion Band,Bodyweight,Calves,3x15,reps,strength,new,,,,,,,,
Ankle Eversion Band,Bodyweight,Calves,3x15,reps,strength,new,,,,,,,,
Towel Scrunch,Bodyweight,Calves,3x20,reps,strength,new,,,,,,,,
Achilles Eccentric Drop,Bodyweight,Calves,3x15,reps,strength,new,,,,,,,,
Side Lying Hip Abduction,Bodyweight,Abductors,3x15,reps,strength,new,,,,,,,,
Fire Hydrant Rehab,Bodyweight,Abductors,3x15,reps,strength,new,,,,,,,,
Hip Airplane,Bodyweight,Glutes,3x8,reps,strength,new,,,,,,,,
Standing Hip CAR,Bodyweight,Glutes,3x8,reps,strength,new,,,,,,,,
Adductor Squeeze Isometric,Bodyweight,Adductors,3x30s,time,hold,new,,,,,,,,
Glute Med Isometric,Bodyweight,Abductors,3x30s,time,hold,new,,,,,,,,
Wrist Flexion Eccentric,Dumbbell,Forearms,3x15,reps,strength,new,,,,,,,,
Wrist Extension Eccentric,Dumbbell,Forearms,3x15,reps,strength,new,,,,,,,,
Tyler Twist,Bodyweight,Forearms,3x15,reps,strength,new,,,,,,,,
Reverse Tyler Twist,Bodyweight,Forearms,3x15,reps,strength,new,,,,,,,,
Pronation Supination,Dumbbell,Forearms,3x15,reps,strength,new,,,,,,,,
Nerve Glide Ulnar,Bodyweight,Forearms,3x12,reps,strength,new,,,,,,,,
Grip Squeeze Ball,Bodyweight,Forearms,3x20,reps,strength,new,,,,,,,,
Chin Tuck Rehab,Bodyweight,Neck,3x15,reps,strength,new,,,,,,,,
Deep Neck Flexor Hold,Bodyweight,Neck,3x20s,time,hold,new,,,,,,,,
Upper Trap Stretch Rehab,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
Doorway Pec Stretch Rehab,Bodyweight,Mobility,2x45s,time,hold,new,,,,,,,,
