Exercise,Workout Category,Equipment Needed,Can Do At Home,Library Category,Muscle Group,Default Sets x Reps,Log Type
Child's Pose Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Chin Tuck Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Cobra Pose Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Cow Face Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Cross Body Shoulder Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Deep Squat Hold Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Doorway Chest Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Doorway Pec Stretch Rehab,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Downward-Facing Dog Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Eagle Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Frog Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Half Kneeling Hip Flexor Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Hamstring Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Happy Baby Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Hip Circles Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Hip Flexor Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Jefferson Curl Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Knee Hug Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Lacrosse Ball Foot Release Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Lacrosse Ball Glute Release Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Lat Stretch on Rack,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Leg Swings Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Levator Scapulae Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Lizard Pose Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Low Lunge Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Lumbar Rotation Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Lying Glute Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Median Nerve Glide Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Neck Rotation Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Neck Side Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Overhead Triceps Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Pigeon Pose Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Prone Press Up Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Puppy Pose Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Reclined Pigeon Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Scapular Wall Slide Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Sciatic Nerve Glide Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Seated Forward Fold Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Seated Spinal Twist Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Shoulder Circles Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Shoulder Dislocate Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Sleeper Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Sphinx Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Standing Forward Fold Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Standing IT Band Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Standing Quad Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Standing Side Bend Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Supine Twist Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x60s,time
Thoracic Rotation Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Thread the Needle Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Thread the Needle Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Torso Twist Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Towel Stretch Shoulder,Home Workout - No Equipment,A towel,Yes,Bodyweight,Mobility,2x45s,time
Tree Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Triangle Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Upper Trap Stretch Rehab,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Wall Slide Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Warrior I Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Warrior II Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Wide Legged Forward Fold Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
World's Greatest Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x45s,time
Wrist Circles Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Wrist Extensor Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Wrist Flexor Stretch,Home Workout - No Equipment,None,Yes,Bodyweight,Mobility,2x30s,time
Chin Tuck Rehab,Home Workout - No Equipment,None,Yes,Bodyweight,Neck,3x15,reps
Deep Neck Flexor Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Neck,3x20s,time
Lying Neck Curls,Home Workout - No Equipment,None,Yes,Bodyweight,Neck,3x15,reps
Lying Neck Extension,Home Workout - No Equipment,None,Yes,Bodyweight,Neck,3x15,reps
Neck Curl,Home Workout - No Equipment,None,Yes,Bodyweight,Neck,3x15,reps
Neck Lateral Flexion,Home Workout - No Equipment,None,Yes,Bodyweight,Neck,3x15,reps
ATG Split Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x10,reps
Depth Jump,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x5,reps
Duck Walk,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x20m,distance
Frog Jumps,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Front Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Full Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Goblet Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Heel Slide,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x15,reps
Isometric Lunge Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x45s,time
Isometric Squat Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x45s,time
Jump Lunge,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x12,reps
Jump Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Jumping Lunge,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Lateral Lunge,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Lateral Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Lunge,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Patellar Tendon Isometric,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x45s,time
Pistol Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Quad Set Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x10s,time
Reverse Lunge,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Reverse Nordic Curl,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x8,reps
Scissor Jump,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x12,reps
Short Arc Quad,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x15,reps
Shrimp Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x8,reps
Single Leg Balance Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x30s,time
Single Leg Extensions,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Skater Jump,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x20,reps
Skater Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x10,reps
Slant Board Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x12,reps
Spanish Squat Isometric,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x30s,time
Speed Skater,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x20,reps
Split Jump,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x10,reps
Squat (Bodyweight),Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Squat Pulse,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x20,reps
Step Down Eccentric,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x10,reps
Straight Leg Raise,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x15,reps
Sumo Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Tuck Jump,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Vertical Jump Test,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x3,reps
VMO Squeeze,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x15,reps
Walking Lunge,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x400m,distance
Wall Drill,Home Workout - No Equipment,None,Yes,Conditioning,Quadriceps,4x20s,time
Wall Sit,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x45s,time
Wall Sit Isometric,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,3x45s,time
Zercher Squat,Home Workout - No Equipment,None,Yes,Bodyweight,Quadriceps,4x8,reps
Advanced Tuck Planche Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x15s,time
Codman Circle,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x20,reps
Crab Reach,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x10,reps
Crow Pose,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x20s,time
Face Pull,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x12,reps
Freestanding Handstand Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x20s,time
Frog Stand Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x20s,time
Handstand Push Up,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x12,reps
Handstand Push Up Kipping,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x8,reps
Handstand Walk,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x10m,distance
Headstand Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x45s,time
Hindu Push Up,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x10,reps
Isometric Shoulder Abduction,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x20s,time
Isometric Shoulder External Rotation,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x20s,time
Loaded Beast Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x30s,time
Passive Shoulder Flexion,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x12,reps
Pendulum Swing,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x20,reps
Pike Pushup,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x12,reps
Planche Lean Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x20s,time
Prone Y Raise,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x15,reps
Push Press,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x12,reps
Shoulder Taps,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x12,reps
Straddle Planche Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x10s,time
Table Slide,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,3x12,reps
Tuck Planche Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x15s,time
Wall Handstand Hold,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x30s,time
Wall Walk,Home Workout - No Equipment,None,Yes,Bodyweight,Shoulders,4x5,reps
Close Grip Push Up,Home Workout - No Equipment,None,Yes,Bodyweight,Triceps,3x12,reps
Diamond Push Up,Home Workout - No Equipment,None,Yes,Bodyweight,Triceps,3x12,reps
Seated Triceps Press,Home Workout - No Equipment,None,Yes,Bodyweight,Triceps,3x12,reps
Triceps Pressdown,Home Workout - No Equipment,None,Yes,Bodyweight,Triceps,3x12,reps
Blackburn Exercise,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x12,reps
Doorway Row,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x12,reps
Inverted Row,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,4x8,reps
Inverted Row Feet Elevated,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x12,reps
Iso-Lateral Low Row,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,4x8,reps
Low row,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,4x8,reps
Prone Horizontal Abduction,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x15,reps
Prone T Raise,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x15,reps
Prone W Raise,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x15,reps
Rack Pull,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,4x8,reps
Scapular Depression,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x15,reps
Scapular Push Up,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x15,reps
Scapular Retraction,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x15,reps
Table Row,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x10,reps
Towel Row,Home Workout - No Equipment,A towel,Yes,Bodyweight,Upper Back,3x12,reps
Wall Angel,Home Workout - No Equipment,None,Yes,Bodyweight,Upper Back,3x15,reps
Hanging Knee Raise,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Abdominals,3x15,reps
Hanging Leg Raise,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Abdominals,3x15,reps
Hanging Windshield Wiper,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Abdominals,3x8,reps
Human Flag Hold,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Abdominals,4x10s,time
Kipping Toes to Bar,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Abdominals,4x10,reps
Toes to Bar,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Abdominals,3x15,reps
Bar Hang Hold,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Forearms,3x45s,time
Towel Pull Up Hold,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Forearms,3x20s,time
Two Finger Hang Hold,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Forearms,3x15s,time
Burpee Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Full Body,3x8,reps
Front Lever Hold,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Full Body,3x45s,time
Front Lever Raise,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Full Body,4x8,reps
Muscle Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Full Body,4x8,reps
Archer Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,3x5,reps
Around the World Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,3x6,reps
Back Lever Hold,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x15s,time
Chest to Bar Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Chin Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Chin Up (Assisted),Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Clap Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x4,reps
Commando Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,3x8,reps
Explosive Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x5,reps
Kipping Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Muscle Up Transition,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x5,reps
Negative Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
One Arm Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,3x3,reps
Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Pull Up (Assisted),Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Skin the Cat,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,3x5,reps
Sternum Pull up (Gironda),Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Tuck Front Lever Hold,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x20s,time
Typewriter Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,3x5,reps
Wide Pull Up,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Dead Hang,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Upper Back,3x45s,time
Scapular Pull Ups,Home Workout - Pull-Up Bar,Pull-up bar,Yes - with a bar,Bodyweight,Upper Back,4x8,reps
Band Monster Walk,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Abductors,3x20m,distance
Band Bicep Curl,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Biceps,3x15,reps
Hammer Curl (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Biceps,3x12,reps
Ankle Eversion Band,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Calves,3x15,reps
Ankle Inversion Band,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Calves,3x15,reps
Chest Fly (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Chest,4x8,reps
Chest Press (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Chest,4x8,reps
Band Hip Thrust,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Glutes,3x20,reps
Deadlift (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Glutes,4x8,reps
Lateral Band Walks,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Glutes,3x400m,distance
Band Good Morning,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Hamstrings,3x15,reps
Kneeling Pulldown (band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Lats,4x8,reps
Lat Pulldown (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Lats,4x8,reps
Pull Up (Band),Home Workout - Resistance Band,Resistance band and a pull-up bar,Yes - with a bar,Bodyweight,Lats,4x8,reps
Band Dislocate Stretch,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Mobility,2x45s,time
Squat (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Quadriceps,4x8,reps
Terminal Knee Extension Band,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Quadriceps,3x15,reps
Band Pull Apart Overhead,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Shoulders,3x15,reps
Band Pullaparts,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Shoulders,3x12,reps
Band Shoulder Press,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Shoulders,3x15,reps
Front Raise (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Shoulders,3x12,reps
Lateral Raise (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Shoulders,3x12,reps
Band Tricep Extension,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Triceps,3x15,reps
Band Face Pull,Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Upper Back,3x15,reps
Bent Over Row (Band),Home Workout - Resistance Band,Resistance band,Yes - small kit,Bodyweight,Upper Back,4x8,reps
Jack Knife (Suspension),Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Abdominals,3x15,reps
Bicep Curl (Suspension),Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Biceps,3x12,reps
Chest Fly (Suspension),Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Chest,4x8,reps
Ring Dips,Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Chest,4x8,reps
Ring Push Up,Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Chest,4x8,reps
Ring Pull Up,Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Lats,4x8,reps
Squat (Suspension),Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Quadriceps,4x8,reps
Front Raise (Suspension),Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Shoulders,3x12,reps
Triceps Extension (Suspension),Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Triceps,3x12,reps
Low Row (Suspension),Home Workout - Suspension,Suspension trainer or rings,Yes - with an anchor,Bodyweight,Upper Back,4x8,reps
Kettlebell Windmill,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Abdominals,3x6,reps
Kettlebell Curl,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Biceps,3x12,reps
Kettlebell Clean,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Full Body,4x8,reps
Kettlebell Figure 8,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Full Body,3x12,reps
Kettlebell High Pull,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Full Body,4x8,reps
Kettlebell Snatch,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Full Body,4x8,reps
Kettlebell Swing,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Full Body,4x8,reps
Kettlebell Turkish Get Up,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Full Body,4x8,reps
Thruster (Kettlebell),Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Full Body,4x8,reps
Kettlebell Swing American,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Glutes,4x15,reps
Double Kettlebell Front Squat,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Quadriceps,4x8,reps
Kettlebell Goblet Squat,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Quadriceps,4x8,reps
Sumo Squat (Kettlebell),Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Quadriceps,4x8,reps
Bottoms Up Carry,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Shoulders,3x30m,distance
Kettlebell Around the World,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Shoulders,3x12,reps
Kettlebell Bottoms Up Press,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Shoulders,3x8,reps
Kettlebell Clean and Press,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Shoulders,4x6,reps
Kettlebell Halo,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Shoulders,3x12,reps
Kettlebell Shoulder Press,Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Shoulders,3x12,reps
Gorilla Row (Kettlebell),Kettlebell Workout,Kettlebell,Gym or home,Kettlebell,Upper Back,4x8,reps
Cable Core Pallof Press,Machine & Cable Workout,Cable machine,Gym only,Machine,Abdominals,3x15,reps
Cable Crunch,Machine & Cable Workout,Cable machine,Gym only,Machine,Abdominals,3x400m,distance
Cable Reverse Woodchop,Machine & Cable Workout,Cable machine,Gym only,Machine,Abdominals,3x12,reps
Cable Twist (Down to up),Machine & Cable Workout,Cable machine,Gym only,Machine,Abdominals,3x15,reps
Cable Twist (Up to down),Machine & Cable Workout,Cable machine,Gym only,Machine,Abdominals,3x15,reps
Cable Woodchop,Machine & Cable Workout,Cable machine,Gym only,Machine,Abdominals,3x12,reps
Crunch (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Abdominals,3x400m,distance
GHD Sit Up,Machine & Cable Workout,Weight machine,Gym only,Machine,Abdominals,3x12,reps
Kneeling Cable Crunch,Machine & Cable Workout,Cable machine,Gym only,Machine,Abdominals,3x15,reps
Hip Abduction (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Abductors,4x8,reps
Hip Abduction (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Abductors,4x8,reps
Hip Adduction (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Adductors,4x8,reps
Hip Adduction (Machine),Machine & Cable Workout,Weight machine,Gym only,Machine,Adductors,4x8,reps
Bayesian Curl,Machine & Cable Workout,Weight machine,Gym only,Machine,Biceps,3x12,reps
Behind the Back Curl (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Biceps,3x12,reps
Bicep Curl (Cable),Machine & Cable Workout,Cable machine,Gym only,Machine,Biceps,3x12,reps
